序号,简体人名,繁体人名
1,朱元璋,朱元璋
2,朱允炆,朱允炆
3,朱棣,朱棣
4,朱高炽,朱高熾
5,朱瞻基,朱瞻基
6,朱祁镇,朱祁鎮
7,朱祁钰,朱祁鈺
8,朱见深,朱見深
9,朱祐樘,朱祐樘
10,朱厚照,朱厚照
11,朱厚熜,朱厚熜
12,朱载坖,朱載坖
13,朱翊钧,朱翊鈞
14,朱常洛,朱常洛
15,朱由校,朱由校
16,朱由检,朱由檢
17,徐达,徐達
18,常遇春,常遇春
19,李文忠,李文忠
20,邓愈,鄧愈
21,汤和,湯和
22,沐英,沐英
23,蓝玉,藍玉
24,傅友德,傅友德
25,冯胜,馮勝
26,丁德兴,丁德興
27,耿炳文,耿炳文
28,盛庸,盛庸
29,铁铉,鐵鉉
30,平安,平安
31,瞿能,瞿能
32,张玉,張玉
33,朱能,朱能
34,邱福,邱福
35,谭渊,譚淵
36,李善长,李善長
37,刘基,劉基
38,宋濂,宋濂
39,叶琛,葉琛
40,章溢,章溢
41,胡惟庸,胡惟庸
42,汪广洋,汪廣洋
43,杨宪,楊憲
44,方孝孺,方孝孺
45,齐泰,齊泰
46,黄子澄,黃子澄
47,景清,景清
48,练子宁,練子寧
49,解缙,解縉
50,姚广孝,姚廣孝
51,夏原吉,夏原吉
52,蹇义,蹇義
53,杨士奇,楊士奇
54,杨荣,楊榮
55,杨溥,楊溥
56,于谦,于謙
57,石亨,石亨
58,曹吉祥,曹吉祥
59,徐有贞,徐有貞
60,李贤,李賢
61,商辂,商輅
62,彭时,彭時
63,万安,萬安
64,刘吉,劉吉
65,王恕,王恕
66,马文升,馬文升
67,刘大夏,劉大夏
68,汪直,汪直
69,梁芳,梁芳
70,万贞儿,萬貞兒
71,李东阳,李東陽
72,谢迁,謝遷
73,刘健,劉健
74,王守仁,王守仁
75,杨廷和,楊廷和
76,毛澄,毛澄
77,蒋冕,蔣冕
78,张璁,張璁
79,桂萼,桂萼
80,方献夫,方獻夫
81,夏言,夏言
82,严嵩,嚴嵩
83,严世蕃,嚴世蕃
84,徐阶,徐階
85,高拱,高拱
86,张居正,張居正
87,海瑞,海瑞
88,胡宗宪,胡宗憲
89,戚继光,戚繼光
90,俞大猷,俞大猷
91,谭纶,譚綸
92,卢镗,盧鏜
93,赵文华,趙文華
94,鄢懋卿,鄢懋卿
95,申时行,申時行
96,王锡爵,王錫爵
97,赵志皋,趙志皋
98,沈一贯,沈一貫
99,叶向高,葉向高
100,方从哲,方從哲
101,刘一燝,劉一燝
102,韩爌,韓爌
103,邹元标,鄒元標
104,顾宪成,顧憲成
105,高攀龙,高攀龍
106,赵南星,趙南星
107,左光斗,左光斗
108,魏大中,魏大中
109,袁化中,袁化中
110,杨涟,楊漣
111,魏忠贤,魏忠賢
112,客氏,客氏
113,文震孟,文震孟
114,钱谦益,錢謙益
115,侯方域,侯方域
116,冒辟疆,冒辟疆
117,方以智,方以智
118,陈贞慧,陳貞慧
119,史可法,史可法
120,袁崇焕,袁崇煥
121,毛文龙,毛文龍
122,满桂,滿桂
123,赵率教,趙率教
124,孙承宗,孫承宗
125,洪承畴,洪承疇
126,卢象升,盧象升
127,孙传庭,孫傳庭
128,杨嗣昌,楊嗣昌
129,曹文诏,曹文詔
130,周遇吉,周遇吉
131,黄得功,黃得功
132,左良玉,左良玉
133,唐寅,唐寅
134,祝允明,祝允明
135,文徵明,文徵明
136,徐祯卿,徐禎卿
137,沈周,沈周
138,仇英,仇英
139,董其昌,董其昌
140,陈洪绶,陳洪綬
141,徐渭,徐渭
142,李梦阳,李夢陽
143,何景明,何景明
144,王世贞,王世貞
145,李攀龙,李攀龍
146,宗臣,宗臣
147,归有光,歸有光
148,茅坤,茅坤
149,唐顺之,唐順之
150,王慎中,王慎中
151,袁宏道,袁宏道
152,袁宗道,袁宗道
153,袁中道,袁中道
154,张岱,張岱
155,冯梦龙,馮夢龍
156,凌濛初,凌濛初
157,吴承恩,吳承恩
158,汤显祖,湯顯祖
159,罗贯中,羅貫中
160,宋应星,宋應星
161,李时珍,李時珍
162,徐光启,徐光啟
163,潘季驯,潘季馴
164,王徵,王徵
165,李之藻,李之藻
166,杨廷筠,楊廷筠
167,黄道周,黃道周
168,倪元璐,倪元璐
169,刘宗周,劉宗周
170,王畿,王畿
171,郑和,鄭和
172,郑成功,鄭成功
173,李自成,李自成
174,张献忠,張獻忠
175,高迎祥,高迎祥
176,罗汝才,羅汝才
177,牛金星,牛金星
178,宋献策,宋獻策
179,刘瑾,劉瑾
180,王振,王振
181,冯保,馮保
182,陈圆圆,陈圆圆
183,柳如是,柳如是
184,李香君,李香君
185,沐天波,沐天波
186,郑芝龙,鄭芝龍
187,李定国,李定國
188,孙可望,孫可望
189,刘綎,劉綎
190,杜松,杜松
191,秦良玉,秦良玉
192,李贽,李贽
193,顾炎武,顧炎武
194,王夫之,王夫之
195,杨慎,楊慎
196,高启,高啟
197,朱载堉,朱載堉
198,李如松,李如松
199,熊廷弼,熊廷弼
200,杨一清,楊一清
